Chromosome,VCF
chr_1,/data/vcf/vcf_file1.vcf.gz
chr_2,/data/vcf/vcf_file2.vcf.gz
chr_3,/data/vcf/vcf_file3.vcf.gz
chr_4,/data/vcf/vcf_file4.vcf.gz
chr_5,/data/vcf/vcf_file5.vcf.gz
chr_6,/data/vcf/vcf_file6.vcf.gz
chr_7,/data/vcf/vcf_file7.vcf.gz
chr_8,/data/vcf/vcf_file8.vcf.gz
chr_9,/data/vcf/vcf_file9.vcf.gz
chr_10,/data/vcf/vcf_file10.vcf.gz
chr_11,/data/vcf/vcf_file11.vcf.gz
chr_12,/data/vcf/vcf_file12.vcf.gz
chr_13,/data/vcf/vcf_file13.vcf.gz
chr_14,/data/vcf/vcf_file14.vcf.gz
chr_15,/data/vcf/vcf_file15.vcf.gz
chr_16,/data/vcf/vcf_file16.vcf.gz
chr_17,/data/vcf/vcf_file17.vcf.gz
chr_18,/data/vcf/vcf_file18.vcf.gz
chr_19,/data/vcf/vcf_file19.vcf.gz
chr_20,/data/vcf/vcf_file20.vcf.gz
chr_21,/data/vcf/vcf_file21.vcf.gz
chr_22,/data/vcf/vcf_file22.vcf.gz
